city,lon,lat,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sunrise,sunset,country,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,air_quality_dt
Karachi,67.0822,24.9056,Haze,haze,293.05,292.19,293.05,293.05,1019,42,4000,2.06,290,0,2024-12-28 13:59:42,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,4,1468.66,0.02,61.01,37.19,35.29,71.3,115.92,19.51,2024-12-28 14:00:09
Islamabad,73.1338,33.7104,Clear,clear sky,285.28,284.4,285.28,285.28,1021,71,10000,1.2,38,0,2024-12-28 13:53:26,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,4753.11,39.79,191.93,0.0,34.33,172.84,214.41,43.57,2024-12-28 14:00:09
Lahore,74.3436,31.5497,Smoke,smoke,286.14,285.48,286.14,286.14,1021,76,4000,1.54,280,40,2024-12-28 14:59:03,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3578.19,41.13,78.14,0.0,17.88,193.72,293.58,41.54,2024-12-28 15:00:08
Karachi,67.0822,24.9056,Haze,haze,293.05,291.98,293.05,293.05,1020,34,4000,1.54,290,0,2024-12-28 15:00:09,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,5,1602.17,0.07,59.63,28.61,27.42,84.53,128.11,23.81,2024-12-28 15:00:09
Islamabad,73.1338,33.7104,Clear,clear sky,284.73,283.88,284.73,284.73,1022,74,10000,2.11,43,0,2024-12-28 14:55:28,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,4699.71,36.21,197.41,0.0,32.42,182.08,229.68,47.12,2024-12-28 15:00:10
Lahore,74.3436,31.5497,Mist,mist,286.14,285.64,286.14,286.14,1021,82,3500,1.54,270,40,2024-12-28 16:00:06,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3738.4,43.36,74.03,0.0,19.55,218.62,335.26,49.14,2024-12-28 16:00:06
Karachi,67.0822,24.9056,Haze,haze,291.05,290.15,291.05,291.05,1020,48,4000,0.0,0,0,2024-12-28 15:56:51,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,5,1895.91,0.57,64.43,18.77,22.41,106.29,147.42,29.89,2024-12-28 16:00:07
Islamabad,73.1338,33.7104,Clear,clear sky,284.17,283.31,284.17,284.17,1022,76,10000,2.3,48,0,2024-12-28 15:56:50,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,4432.68,28.16,189.19,0.01,30.04,185.79,237.08,47.12,2024-12-28 16:00:08
Lahore,74.3436,31.5497,Mist,mist,285.14,284.54,285.14,285.14,1022,82,2000,2.06,290,40,2024-12-28 16:56:24,2024-12-28 02:00:58,2024-12-28 12:07:15,PK,5,3791.81,44.26,67.17,0.0,20.5,230.48,361.1,56.74,2024-12-28 17:00:06
Karachi,67.0822,24.9056,Haze,haze,291.05,290.25,291.05,291.05,1020,52,4000,1.54,270,0,2024-12-28 16:51:48,2024-12-28 02:15:10,2024-12-28 12:51:09,PK,5,2403.26,5.36,71.29,3.71,21.94,140.25,183.82,36.99,2024-12-28 17:00:08
Islamabad,73.1338,33.7104,Clear,clear sky,283.62,282.76,283.62,283.62,1023,78,10000,2.61,43,0,2024-12-28 16:49:19,2024-12-28 02:11:07,2024-12-28 12:06:46,PK,5,3898.62,19.89,163.14,0.05,26.46,182.35,234.53,43.57,2024-12-28 17:00:09
